bird,session,pair,time,time_diff,resp_RI,resp_RR,reward_RI,reward_RR,time_since_last_reward_RI,time_since_last_reward_RR,visit_lenght_response_RI,visit_lenght_response_RR,responses_before_reward_RI,responses_before_reward_RR,visit_lenght_time_RI,visit_lenght_time_RR
P875,S52,3,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0
P875,S52,3,583.83,583.83,1,0,0,0,583.83,583.83,0,0,1,0,0.0,0.0
P875,S52,3,584.25,0.4199999999999591,1,0,0,0,584.25,584.25,1,0,2,0,0.4199999999999591,0.0
P875,S52,3,584.63,0.37999999999999545,1,0,0,0,584.63,584.63,2,0,3,0,0.7999999999999545,0.0
P875,S52,3,585.01,0.37999999999999545,1,0,0,0,585.01,585.01,3,0,4,0,1.17999999999995,0.0
P875,S52,3,586.1,1.0900000000000318,0,1,0,0,586.1,586.1,0,0,4,1,0.0,0.0
P875,S52,3,586.44,0.34000000000003183,0,1,0,0,586.44,586.44,0,1,4,2,0.0,0.34000000000003183
P875,S52,3,586.73,0.2899999999999636,0,1,0,0,586.73,586.73,0,2,4,3,0.0,0.6299999999999955
P875,S52,3,587.07,0.34000000000003183,0,1,0,0,587.07,587.07,0,3,4,4,0.0,0.9700000000000273
P875,S52,3,587.34,0.2699999999999818,0,1,0,0,587.34,587.34,0,4,4,5,0.0,1.240000000000009
P875,S52,3,587.39,0.049999999999954525,0,1,0,0,587.39,587.39,0,5,4,6,0.0,1.2899999999999636
P875,S52,3,587.67,0.2799999999999727,0,1,0,0,587.67,587.67,0,6,4,7,0.0,1.5699999999999363
P875,S52,3,587.97,0.3000000000000682,0,1,0,0,587.97,587.97,0,7,4,8,0.0,1.8700000000000045
P875,S52,3,588.36,0.38999999999998636,0,1,0,0,588.36,588.36,0,8,4,9,0.0,2.259999999999991
P875,S52,3,588.71,0.35000000000002274,0,1,0,0,588.71,588.71,0,9,4,10,0.0,2.6100000000000136
P875,S52,3,589.03,0.31999999999993634,0,1,0,0,589.03,589.03,0,10,4,11,0.0,2.92999999999995
P875,S52,3,590.12,1.0900000000000318,1,0,0,0,590.12,590.12,0,0,5,11,0.0,0.0
P875,S52,3,590.47,0.35000000000002274,1,0,0,0,590.47,590.47,1,0,6,11,0.35000000000002274,0.0
P875,S52,3,590.83,0.36000000000001364,1,0,0,0,590.83,590.83,2,0,7,11,0.7100000000000364,0.0
P875,S52,3,591.16,0.32999999999992724,1,0,0,0,591.16,591.16,3,0,8,11,1.0399999999999636,0.0
P875,S52,3,591.5,0.34000000000003183,1,0,0,0,591.5,591.5,4,0,9,11,1.3799999999999955,0.0
P875,S52,3,591.82,0.32000000000005,1,0,0,0,591.82,591.82,5,0,10,11,1.7000000000000455,0.0
P875,S52,3,592.15,0.32999999999992724,1,0,0,0,592.15,592.15,6,0,11,11,2.0299999999999727,0.0
P875,S52,3,592.5,0.35000000000002274,1,0,0,0,592.5,592.5,7,0,12,11,2.3799999999999955,0.0
P875,S52,3,593.65,1.1499999999999773,0,1,0,0,593.65,593.65,0,0,12,12,0.0,0.0
P875,S52,3,593.94,0.2900000000000773,0,1,0,0,593.94,593.94,0,1,12,13,0.0,0.2900000000000773
P875,S52,3,594.22,0.2799999999999727,0,1,0,0,594.22,594.22,0,2,12,14,0.0,0.57000000000005
P875,S52,3,594.6,0.37999999999999545,0,1,0,0,594.6,594.6,0,3,12,15,0.0,0.9500000000000455
P875,S52,3,594.9,0.2999999999999545,0,1,0,0,594.9,594.9,0,4,12,16,0.0,1.25
P875,S52,3,595.26,0.36000000000001364,0,1,0,0,595.26,595.26,0,5,12,17,0.0,1.6100000000000136
P875,S52,3,595.54,0.2799999999999727,0,1,0,0,595.54,595.54,0,6,12,18,0.0,1.8899999999999864
P875,S52,3,595.87,0.3300000000000409,0,1,0,0,595.87,595.87,0,7,12,19,0.0,2.2200000000000273
P875,S52,3,596.16,0.2899999999999636,0,1,0,0,596.16,596.16,0,8,12,20,0.0,2.509999999999991
P875,S52,3,596.51,0.35000000000002274,0,1,0,0,596.51,596.51,0,9,12,21,0.0,2.8600000000000136
P875,S52,3,596.8,0.2899999999999636,0,1,0,0,596.8,596.8,0,10,12,22,0.0,3.1499999999999773
P875,S52,3,597.14,0.34000000000003183,0,1,0,0,597.14,597.14,0,11,12,23,0.0,3.490000000000009
P875,S52,3,597.42,0.2799999999999727,0,1,0,0,597.42,597.42,0,12,12,24,0.0,3.769999999999982
P875,S52,3,597.42,0.2799999999999727,0,1,0,1,597.6999999999999,0.0,0,13,12,0,0.0,0.2799999999999727
P875,S52,3,601.53,4.110000000000014,0,1,0,0,601.81,4.110000000000014,0,0,12,1,0.0,0.0
P875,S52,3,601.87,0.34000000000003183,0,1,0,0,602.15,4.4500000000000455,0,1,12,2,0.0,0.34000000000003183
P875,S52,3,602.17,0.2999999999999545,0,1,0,0,602.4499999999999,4.75,0,2,12,3,0.0,0.6399999999999864
P875,S52,3,602.53,0.36000000000001364,0,1,0,0,602.81,5.110000000000014,0,3,12,4,0.0,1.0
P875,S52,3,602.53,0.36000000000001364,0,1,0,1,603.17,0.0,0,4,12,0,0.0,0.36000000000001364
P875,S52,3,606.21,3.6800000000000637,0,1,0,0,606.85,3.6800000000000637,0,0,12,1,0.0,0.0
P875,S52,3,606.56,0.34999999999990905,0,1,0,0,607.1999999999999,4.029999999999973,0,1,12,2,0.0,0.34999999999990905
P875,S52,3,606.89,0.3300000000000409,0,1,0,0,607.53,4.360000000000014,0,2,12,3,0.0,0.67999999999995
P875,S52,3,607.16,0.2699999999999818,0,1,0,0,607.8,4.6299999999999955,0,3,12,4,0.0,0.9499999999999318
P875,S52,3,607.98,0.82000000000005,0,1,0,0,608.62,5.4500000000000455,0,4,12,5,0.0,1.7699999999999818
P875,S52,3,608.3,0.31999999999993634,0,1,0,0,608.9399999999999,5.769999999999982,0,5,12,6,0.0,2.089999999999918
P875,S52,3,608.66,0.36000000000001364,0,1,0,0,609.3,6.1299999999999955,0,6,12,7,0.0,2.449999999999932
P875,S52,3,609.97,1.3100000000000591,1,0,0,0,610.61,7.440000000000055,0,0,13,7,0.0,0.0
P875,S52,3,610.28,0.30999999999994543,1,0,0,0,610.92,7.75,1,0,14,7,0.30999999999994543,0.0
P875,S52,3,610.36,0.08000000000004093,1,0,0,0,611.0,7.830000000000041,2,0,15,7,0.38999999999998636,0.0
P875,S52,3,610.6,0.2400000000000091,1,0,0,0,611.24,8.07000000000005,3,0,16,7,0.6299999999999955,0.0
P875,S52,3,610.92,0.31999999999993634,1,0,0,0,611.56,8.389999999999986,4,0,17,7,0.9499999999999318,0.0
P875,S52,3,611.22,0.3000000000000682,1,0,0,0,611.86,8.690000000000055,5,0,18,7,1.25,0.0
P875,S52,3,611.53,0.30999999999994543,1,0,0,0,612.17,9.0,6,0,19,7,1.5599999999999454,0.0
P875,S52,3,611.85,0.32000000000005,1,0,0,0,612.49,9.32000000000005,7,0,20,7,1.8799999999999955,0.0
P875,S52,3,612.19,0.34000000000003183,1,0,0,0,612.83,9.660000000000082,8,0,21,7,2.2200000000000273,0.0
P875,S52,3,613.37,1.17999999999995,0,1,0,0,614.01,10.840000000000032,0,0,21,8,0.0,0.0
P875,S52,3,613.67,0.2999999999999545,0,1,0,0,614.31,11.139999999999986,0,1,21,9,0.0,0.2999999999999545
P875,S52,3,614.02,0.35000000000002274,0,1,0,0,614.66,11.490000000000009,0,2,21,10,0.0,0.6499999999999773
P875,S52,3,614.31,0.2899999999999636,0,1,0,0,614.9499999999999,11.779999999999973,0,3,21,11,0.0,0.9399999999999409
P875,S52,3,614.66,0.35000000000002274,0,1,0,0,615.3,12.129999999999995,0,4,21,12,0.0,1.2899999999999636
P875,S52,3,614.94,0.2800000000000864,0,1,0,0,615.58,12.410000000000082,0,5,21,13,0.0,1.57000000000005
P875,S52,3,614.94,0.2800000000000864,0,1,0,1,615.8600000000001,0.0,0,6,21,0,0.0,0.2800000000000864
P875,S52,3,618.99,4.0499999999999545,0,1,0,0,619.9100000000001,4.0499999999999545,0,0,21,1,0.0,0.0
P875,S52,3,619.31,0.31999999999993634,0,1,0,0,620.23,4.369999999999891,0,1,21,2,0.0,0.31999999999993634
P875,S52,3,619.61,0.3000000000000682,0,1,0,0,620.5300000000001,4.669999999999959,0,2,21,3,0.0,0.6200000000000045
P875,S52,3,619.89,0.2799999999999727,0,1,0,0,620.8100000000001,4.949999999999932,0,3,21,4,0.0,0.8999999999999773
P875,S52,3,620.22,0.3300000000000409,0,1,0,0,621.1400000000001,5.279999999999973,0,4,21,5,0.0,1.2300000000000182
